a,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,3,0,0,3
b,0,84,0,0,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0
c,0,0,84,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0
d,0,0,3,77,4,5,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,1,3,0,0
e,0,0,0,3,84,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,5,0,0,0
f,0,0,3,5,1,77,5,0,0,0,0,0,0,0,0,0,0,4,0,2,0,3,0,0,0,0
g,0,3,0,0,0,5,77,5,0,0,0,0,0,0,0,0,0,1,0,4,0,3,0,0,2,0
h,0,3,0,0,0,0,5,77,0,5,0,0,0,3,0,0,0,0,0,1,2,0,0,0,4,0
i,0,0,0,0,0,0,0,0,84,3,3,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0
j,0,0,0,0,0,0,0,5,2,77,5,0,3,3,0,0,0,0,0,0,4,0,0,0,1,0
k,0,0,0,0,0,0,0,0,4,5,80,5,3,0,2,0,0,0,0,0,1,0,0,0,0,0
l,0,0,0,0,0,0,0,0,1,0,8,85,0,0,4,2,0,0,0,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0,0,3,4,0,85,8,0,0,0,0,0,0,0,0,0,0,0,0
n,0,5,0,0,0,0,0,3,0,3,0,0,5,84,0,0,0,0,0,0,0,0,0,0,0,0
o,0,0,0,0,0,0,0,0,5,0,3,3,0,0,84,5,0,0,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,88,0,0,0,0,0,0,0,0,0,0
q,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,8,0,0,0
r,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,84,0,5,0,0,0,0,0,0
s,5,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,77,0,0,0,4,3,0,3
t,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,5,0,84,0,0,0,0,5,0
u,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,84,0,0,0,5,0
v,0,5,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0
w,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,84,0,0,0
x,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,84,0,5
y,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,84,0
z,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,85
